Name;h;b;t;A;cty;ctz;Iy;Iz;iy;iz;Wy.el;Wz.el;Wy.pl;Wz.pl;It;WT;As
RHS 200x120x6.3;0.2;0.12;0.0063;0.00383;28.7;1.600E+01;2.060E-05;9.290E-06;7.340E-02;4.920E-02;2.070E-04;1.550E-04;2.530E-04;1.770E-04;2.030E-05;2.550E-04;6.240E-01
RHS 200x120x8;0.2;0.12;0.008;0.0048;22;1.200E+01;2.530E-05;1.130E-05;7.260E-02;4.850E-02;2.530E-04;1.880E-04;3.130E-04;2.180E-04;2.500E-05;3.100E-04;6.190E-01
RHS 200x120x10;0.2;0.12;0.01;0.00589;17;9.000E+00;3.030E-05;1.340E-05;7.170E-02;4.760E-02;3.030E-04;2.230E-04;3.790E-04;2.630E-04;3.000E-05;3.670E-04;6.140E-01
RHS 200x120x12.5;0.2;0.12;0.0125;0.00721;13;6.600E+00;3.580E-05;1.560E-05;7.040E-02;4.660E-02;3.580E-04;2.600E-04;4.550E-04;3.140E-04;3.570E-05;4.280E-04;6.080E-01
RHS 200x120x14.2;0.2;0.12;0.0142;0.00807;11.1;5.450E+00;3.910E-05;1.690E-05;6.960E-02;4.580E-02;3.910E-04;2.820E-04;5.030E-04;3.460E-04;3.920E-05;4.640E-04;6.030E-01
RHS 200x120x16;0.2;0.12;0.016;0.00894;9.5;4.500E+00;4.220E-05;1.810E-05;6.870E-02;4.500E-02;4.220E-04;3.020E-04;5.500E-04;3.770E-04;4.250E-05;4.970E-04;5.990E-01
RHS 200x150x5;0.2;0.15;0.005;0.00337;37;2.700E+01;1.970E-05;1.260E-05;7.640E-02;6.120E-02;1.970E-04;1.690E-04;2.340E-04;1.920E-04;2.390E-05;2.670E-04;6.870E-01
RHS 200x150x6.3;0.2;0.15;0.0063;0.00421;28.7;2.080E+01;2.420E-05;1.550E-05;7.580E-02;6.070E-02;2.420E-04;2.070E-04;2.890E-04;2.370E-04;2.950E-05;3.260E-04;6.840E-01
RHS 200x150x8;0.2;0.15;0.008;0.00528;22;1.580E+01;2.970E-05;1.890E-05;7.500E-02;5.990E-02;2.970E-04;2.530E-04;3.590E-04;2.940E-04;3.640E-05;3.980E-04;6.790E-01
RHS 200x150x10;0.2;0.15;0.01;0.00649;17;1.200E+01;3.570E-05;2.260E-05;7.410E-02;5.910E-02;3.570E-04;3.020E-04;4.360E-04;3.560E-04;4.410E-05;4.750E-04;6.740E-01
RHS 200x150x12.5;0.2;0.15;0.0125;0.00796;13;9.000E+00;4.240E-05;2.670E-05;7.300E-02;5.800E-02;4.240E-04;3.560E-04;5.250E-04;4.280E-04;5.290E-05;5.590E-04;6.680E-01
RHS 200x150x14.2;0.2;0.15;0.0142;0.00892;11.1;7.560E+00;4.640E-05;2.920E-05;7.220E-02;5.720E-02;4.640E-04;3.890E-04;5.820E-04;4.730E-04;5.830E-05;6.100E-04;6.630E-01
RHS 200x150x16;0.2;0.15;0.016;0.0099;9.5;6.380E+00;5.040E-05;3.150E-05;7.130E-02;5.640E-02;5.040E-04;4.200E-04;6.380E-04;5.180E-04;6.370E-05;6.580E-04;6.590E-01
RHS 250x100x5;0.25;0.1;0.005;0.00337;47;1.700E+01;2.610E-05;6.180E-06;8.800E-02;4.280E-02;2.090E-04;1.240E-04;2.630E-04;1.380E-04;1.620E-05;2.170E-04;6.870E-01
RHS 250x100x6.3;0.25;0.1;0.0063;0.00421;36.7;1.290E+01;3.210E-05;7.510E-06;8.730E-02;4.220E-02;2.570E-04;1.500E-04;3.260E-04;1.690E-04;1.980E-05;2.640E-04;6.840E-01
