Name;h;b;t;A;ct;I;i;Wel;Wpl;It;WT;As
SHS 250x6.3;0.25;0.25;0.0063;0.0061;36.7;6.010E-05;9.930E-02;4.810E-04;5.560E-04;9.240E-05;7.120E-04;9.840E-01
SHS 250x8;0.25;0.25;0.008;0.00768;28.3;7.460E-05;9.860E-02;5.960E-04;6.940E-04;1.150E-04;8.800E-04;9.790E-01
SHS 250x10;0.25;0.25;0.01;0.00949;22;9.060E-05;9.770E-02;7.240E-04;8.510E-04;1.410E-04;1.060E-03;9.740E-01
SHS 250x12.5;0.25;0.25;0.0125;0.0117;17;1.090E-04;9.660E-02;8.730E-04;1.040E-03;1.720E-04;1.280E-03;9.680E-01
SHS 250x14.2;0.25;0.25;0.0142;0.0132;14.6;1.210E-04;9.580E-02;9.670E-04;1.160E-03;1.910E-04;1.410E-03;9.630E-01
SHS 250x16;0.25;0.25;0.016;0.0147;12.6;1.330E-04;9.500E-02;1.060E-03;1.280E-03;2.110E-04;1.550E-03;9.590E-01
SHS 250x17.5;0.25;0.25;0.0175;0.0159;11.3;1.420E-04;9.430E-02;1.140E-03;1.380E-03;2.270E-04;1.650E-03;9.550E-01
SHS 260x10;0.26;0.26;0.01;0.00989;23;1.020E-04;1.020E-01;7.880E-04;9.240E-04;1.590E-04;1.160E-03;1.010E+00
SHS 260x12.5;0.26;0.26;0.0125;0.0122;17.8;1.240E-04;1.010E-01;9.510E-04;1.130E-03;1.940E-04;1.390E-03;1.010E+00
SHS 260x14.2;0.26;0.26;0.0142;0.0137;15.3;1.370E-04;9.990E-02;1.060E-03;1.260E-03;2.170E-04;1.540E-03;1.000E+00
SHS 260x16;0.26;0.26;0.016;0.0153;13.3;1.510E-04;9.910E-02;1.160E-03;1.390E-03;2.390E-04;1.690E-03;9.990E-01
SHS 260x17.5;0.26;0.26;0.0175;0.0166;11.9;1.610E-04;9.840E-02;1.240E-03;1.500E-03;2.580E-04;1.800E-03;9.950E-01
SHS 300x6.3;0.3;0.3;0.0063;0.00736;44.6;1.050E-04;1.200E-01;7.030E-04;8.090E-04;1.610E-04;1.040E-03;1.180E+00
SHS 300x8;0.3;0.3;0.008;0.00928;34.5;1.310E-04;1.190E-01;8.750E-04;1.010E-03;2.020E-04;1.290E-03;1.180E+00
SHS 300x10;0.3;0.3;0.01;0.0115;27;1.600E-04;1.180E-01;1.070E-03;1.250E-03;2.480E-04;1.580E-03;1.170E+00
SHS 300x12.5;0.3;0.3;0.0125;0.0142;21;1.940E-04;1.170E-01;1.300E-03;1.520E-03;3.030E-04;1.900E-03;1.170E+00
SHS 300x14.2;0.3;0.3;0.0142;0.016;18.1;2.160E-04;1.160E-01;1.440E-03;1.710E-03;3.390E-04;2.110E-03;1.160E+00
SHS 300x16;0.3;0.3;0.016;0.0179;15.8;2.380E-04;1.150E-01;1.590E-03;1.900E-03;3.760E-04;2.320E-03;1.160E+00
